10.1006/jsvi.1991.0606	nordmark_friction_map
10.1007/978-1-4612-1140-2	baker_transformation_1d
10.1007/978-1-4612-1140-2	circle_renormalization_critical
10.1007/978-1-4612-1140-2	global_heteroclinic_double_saddle
10.1007/978-1-4612-1140-2	guckenheimer_holmes_3d_heteroclinic
10.1007/978-1-4612-1140-2	hopf_zero_codim_2
10.1007/978-1-4612-1140-2	lotka_volterra_3d_competitive
10.1007/978-1-4612-1140-2	melnikov_homoclinic_perturbation
10.1007/978-1-4612-1140-2	rock_paper_scissors_heteroclinic_3d
10.1007/978-1-4612-1140-2	shilnikov_homoclinic_orbit
10.1007/978-1-4612-1140-2	sine_circle_map_arnold
10.1007/978-1-4612-1140-2	smale_horseshoe_homoclinic_construction
10.1007/978-1-4612-1140-2	smale_horseshoe_map
10.1007/978-1-4757-3978-7	andronov_hopf_homoclinic_loop
10.1007/978-1-4757-3978-7	bautin_generalized_hopf_codim_2
10.1007/978-1-4757-3978-7	bogdanov_map
10.1007/978-1-4757-3978-7	bogdanov_takens_codim_2
10.1007/978-1-4757-3978-7	cusp_codim_2_normal_form
10.1007/978-1-4757-3978-7	double_hopf_codim_2_nonresonant
10.1007/978-1-4757-3978-7	double_hopf_codim_2_resonant
10.1007/978-1-4757-3978-7	flip_bifurcation_normal_form
10.1007/978-1-4757-3978-7	fold_hopf_codim_2_normal_form
10.1007/978-1-4757-3978-7	neimark_sacker_bifurcation
10.1007/978-1-4757-3978-7	period_doubling_bifurcation_normal_form
10.1007/978-1-4757-3978-7	saddle_node_bifurcation_normal_form
10.1007/978-1-4757-3978-7	snic_bifurcation_saddle_node_invariant_circle
10.1007/978-1-4757-3978-7	subcritical_hopf_bifurcation
10.1007/978-1-4757-3978-7	subcritical_pitchfork_bifurcation
10.1007/978-1-4757-3978-7	supercritical_hopf_bifurcation
10.1007/978-1-4757-3978-7	supercritical_pitchfork_bifurcation
10.1007/978-1-4757-3978-7	transcritical_bifurcation_normal_form
10.1007/978-1-4757-3978-7	triple_zero_codim_3
10.1007/978-1-4757-3978-7	zero_hopf_codim_2_alternative
10.1007/BF00623322	autocatalytic_set_eigen_chemoton
10.1007/BF01075697	rabinovich_4d_thermal_convection
10.1007/BF01075697	rabinovich_fabrikant_4d_extension
10.1007/BF01075697	rabinovich_fabrikant_attractor
10.1007/BF01197757	logistic_map_intermittency_window
10.1007/BF01197757	manneville_intermittent_map
10.1007/BF01197757	pomeau_manneville_type_I
10.1007/BF01197757	pomeau_manneville_type_II
10.1007/BF01197757	pomeau_manneville_type_III
10.1007/BF01197757	type_IV_intermittency_special
10.1007/BF01209746	arneodo_attractor
10.1007/BF01608556	henon_attractor_canonical
10.1016/0005-1098(92)90119-0	genesio_tesi_attractor
10.1016/0030-4018(79)90090-7	ikeda_attractor
10.1016/0167-2789(81)90080-3	newton_leipnik_attractor
10.1016/0375-9601(76)90101-8	rossler_1976_continuous_chaos
10.1016/0375-9601(76)90101-8	rossler_funnel
10.1016/0375-9601(79)90150-6	rossler_hyperchaos_4d
10.1016/0375-9601(79)90150-6	rossler_hyperchaos_4d_2
10.1016/S0006-3495(61)86902-6	fitzhugh_nagumo_3d_extended
10.1016/S0006-3495(81)84782-0	morris_lecar_neuron
10.1016/S0375-9601(97)00088-1	sprott_jerk_A
10.1016/S0375-9601(97)00088-1	sprott_jerk_B
10.1016/S0375-9601(97)00088-1	sprott_jerk_C
10.1016/S0375-9601(97)00088-1	sprott_jerk_D
10.1016/S0375-9601(97)00088-1	sprott_jerk_E
10.1016/S0375-9601(97)00088-1	sprott_jerk_F
10.1016/S0375-9601(97)00088-1	sprott_jerk_G
10.1016/S0375-9601(97)00088-1	sprott_jerk_H
10.1016/S0375-9601(97)00088-1	sprott_jerk_I
10.1016/S0375-9601(97)00088-1	sprott_jerk_J
10.1016/S0375-9601(97)00088-1	sprott_jerk_K
10.1016/S0375-9601(97)00088-1	sprott_jerk_L
10.1016/S0375-9601(97)00088-1	sprott_jerk_M
10.1016/S0375-9601(97)00088-1	sprott_jerk_N
10.1016/S0375-9601(97)00088-1	sprott_jerk_O
10.1016/j.chaos.2003.12.034	chen_lee_attractor
10.1016/j.chaos.2003.12.034	liu_attractor_2004
10.1016/j.chaos.2005.05.061	hyperchaotic_qi_4d
10.1016/j.chaos.2007.11.014	liu_chen_attractor
10.1016/j.chaos.2009.01.010	dadras_attractor
10.1016/j.cnsns.2009.10.040	hyperchaotic_yujun_4d
10.1016/j.cnsns.2010.04.012	pehlivan_uyaroglu_attractor
10.1016/j.cnsns.2011.04.002	wang_sun_attractor
10.1016/j.physleta.2007.01.078	hyperchaotic_jia_4d
10.1016/j.physleta.2008.12.066	yu_wang_attractor
10.1016/j.tibtech.2003.10.005	autocatalytic_raf_self_replication
10.1017/CBO9780511809187	arnold_cat_map
10.1017/CBO9780511809187	baker_transformation_2d
10.1017/CBO9780511809187	bernoulli_doubling_map
10.1017/CBO9780511809187	chebyshev_T2_map
10.1017/CBO9780511809187	chebyshev_T3_map
10.1017/CBO9780511809187	chebyshev_T4_map
10.1017/CBO9780511809187	doubling_map_dyadic
10.1017/CBO9780511809187	shift_map_binary
10.1017/S0143385795000089	krupa_melbourne_heteroclinic_network
10.1017/S0143385795000089	triangular_heteroclinic_3d
10.1017/S0305004100033116	rikitake_4d_dynamo_extension
10.1017/S0305004100033116	rikitake_dynamo
10.1038/261459a0	logistic_map_band_merging
